physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,receptor_density_contrast_percent,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001469514830442,6.049676652291125,6.049676652291125,0.0809584729850646,,,,gradient,500000.0,500000.0,193987.27197361668,100000.0,85141.96672610469,760.7343998965359,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0015018481665,6.1867192458287645,6.1867192458287645,0.0833415645864399,,,,gradient,500000.0,500000.0,187658.56466894763,100000.0,84177.00943923737,735.915939878226,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0015341825464683,6.323938932526962,6.323938932526962,0.0856866413158401,,,,gradient,500000.0,500000.0,181555.08677191244,100000.0,83203.51790206213,711.9807324388723,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001566517970381,6.461335941234392,6.461335941234392,0.0879942456532849,,,,gradient,500000.0,500000.0,175678.10783288843,100000.0,82223.18878335143,688.9337562074056,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0015988544382717,6.598910501095423,6.598910501095423,0.0902641506434324,,,,gradient,500000.0,500000.0,170008.37333105985,100000.0,81236.99313667859,666.6995032590582,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001631191950174,6.736662841550567,6.736662841549634,0.0924961401353228,,,,gradient,500000.0,500000.0,164547.38149011947,100000.0,80247.13491607136,645.2838489808606,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.001663530506122,6.874593192335898,6.874593192335898,0.0946905389664088,,,,gradient,500000.0,500000.0,159289.29808958355,100000.0,79254.99003256859,624.6639140767983,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0016958701061487,7.012701783485231,7.012701783485231,0.0968477767874046,,,,gradient,500000.0,500000.0,154228.1901821734,100000.0,78261.82517431088,604.8164320869545,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0017282107502885,7.1509888453306525,7.1509888453306525,0.0989683693473113,,,,gradient,500000.0,500000.0,149358.0569804808,100000.0,77268.8041560458,585.7178705116894,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0017605524385749,7.28945460849999,7.28945460849999,0.1010543095554663,,,,gradient,500000.0,500000.0,144680.2425908032,100000.0,76276.76393841258,567.373500356091,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0017928951710413,7.428099303919056,7.428099303919056,0.1031044941872633,,,,gradient,500000.0,500000.0,140173.51102930267,100000.0,75286.53015425308,549.7000432521673,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0018252389477216,7.566923162813066,7.566923162813066,0.1051199362691922,,,,gradient,500000.0,500000.0,135839.65032940597,100000.0,74299.41023662481,532.7045110957097,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.00185758376865,7.705926416707887,7.7059264167088415,0.1071013599088121,,,,gradient,500000.0,500000.0,131672.64969860052,100000.0,73316.21765905965,516.3633321513746,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0018899296338593,7.845109297423858,7.845109297423858,0.1090495169263419,,,,gradient,500000.0,500000.0,127666.55284762832,100000.0,72337.69287770422,500.65314842207187,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0019222765433835,7.984472037084656,7.984472037083701,0.1109651796843602,,,,gradient,500000.0,500000.0,123815.476207396,100000.0,71364.50864488583,485.5508870878274,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0019546244972573,8.12401486811396,8.12401486811396,0.1128513991714726,,,,gradient,500000.0,500000.0,120121.615299931,100000.0,70396.9183255404,471.0651580389451,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0019869734955131,8.263738023232857,8.263738023232857,0.1147054810960514,,,,gradient,500000.0,500000.0,116562.9616458338,100000.0,69435.68155632005,457.10965351307374,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0020193235381851,8.403641735466106,8.40364173546515,0.1165294352304262,,,,gradient,500000.0,500000.0,113142.28576665735,100000.0,68481.4753897753,443.6952383006171,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0020516746253074,8.543726238137639,8.543726238137639,0.1183240614073409,,,,gradient,500000.0,500000.0,109854.13746832292,100000.0,67534.74774098501,430.8005390914624,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002084026756913,8.683991764873845,8.683991764873845,0.1200901557482794,,,,gradient,500000.0,500000.0,106693.20269344904,100000.0,66595.90093675519,418.40471644489816,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0021163799330364,8.824438549603997,8.824438549603997,0.1218285073916847,,,,gradient,500000.0,500000.0,103654.3110489406,100000.0,65665.2953075205,406.487494309571,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0021487341537108,8.965066826557688,8.965066826557688,0.1235431579649521,,,,gradient,500000.0,500000.0,100740.82693434326,100000.0,64742.82231881963,395.0620664091893,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.00218108941897,9.105876830268244,9.105876830268244,0.1252293582855712,,,,gradient,500000.0,500000.0,97930.82565148856,100000.0,63829.21541530009,384.0424535352493,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002213445728848,9.246868795571949,9.246868795572926,0.1268900997269044,,,,gradient,500000.0,500000.0,95228.28444411846,100000.0,62924.73525218378,373.4442527220332,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002245803083378,9.388042957607666,9.388042957608643,0.128526118297309,,,,gradient,500000.0,500000.0,92628.65377426364,100000.0,62029.603882686795,363.2496226441711,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002278161482594,9.529399551820015,9.529399551820015,0.1301381317203595,,,,gradient,500000.0,500000.0,90127.54530885,100000.0,61144.01573902868,353.4413541523529,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.00231052092653,9.670938813956887,9.670938813956887,0.1317302530628726,,,,gradient,500000.0,500000.0,87729.59786093279,100000.0,60268.03176259614,344.03763867032467,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002342881415219,9.812660980069875,9.812660980068898,0.1332973235332924,,,,gradient,500000.0,500000.0,85412.75171277054,100000.0,59401.65745530316,334.95196750106095,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0023752429486958,9.954566286516542,9.954566286516542,0.1348424053457364,,,,gradient,500000.0,500000.0,83182.23739877145,100000.0,58545.286358240584,326.2048525442018,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0024076055269937,10.09665496996086,10.096654969961838,0.1363661311529439,,,,gradient,500000.0,500000.0,81034.30443043976,100000.0,57699.02206124561,317.7815860017246,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0024399691501458,10.238927267370702,10.238927267370702,0.1378691100866858,,,,gradient,500000.0,500000.0,78965.3568298732,100000.0,56862.95016227453,309.66806599950274,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0024723338181865,10.381383416021103,10.381383416021103,0.139351927327491,,,,gradient,500000.0,500000.0,76971.94995580017,100000.0,56037.13974713771,301.8507841403928,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0025046995311493,10.52402365349372,10.52402365349372,0.1408198873883928,,,,gradient,500000.0,500000.0,75059.71369548245,100000.0,55221.46176082933,294.3518184136567,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002537066289068,10.666848217677206,10.666848217677206,0.142265009148308,,,,gradient,500000.0,500000.0,73207.41210688042,100000.0,54416.03292168933,287.08789061521736,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0025694340919764,10.809857346767672,10.809857346767672,0.1436915673076594,,,,gradient,500000.0,500000.0,71421.1956964437,100000.0,53621.003252746224,280.0831203782106,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0026018029399082,10.953051279268957,10.953051279268957,0.1451000500398453,,,,gradient,500000.0,500000.0,69698.1859778906,100000.0,52836.38735426702,273.3262195211396,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0026341728328971,11.096430253993184,11.096430253993184,0.1464909213108288,,,,gradient,500000.0,500000.0,68035.63520969306,100000.0,52062.18911310058,266.8064125870316,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0026665437709767,11.239994510060036,11.239994510060036,0.1478646212263526,,,,gradient,500000.0,500000.0,66430.92174102772,100000.0,51298.40258169224,260.51341859226557,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.002698915754181,11.383744286900166,11.383744286900166,0.149227795982413,,,,gradient,500000.0,500000.0,64890.457335240106,100000.0,50544.78526184816,254.4723817068239,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,500.0,10.0,1.0027312887825437,11.527679824252646,11.527679824252646,0.1505693301666022,,,,gradient,500000.0,500000.0,63393.83319170827,100000.0,49801.53371751626,248.6032674184638,0.9688545198737308,516.0733523389706,10.0,0.002,1.0
