physical_condition,series,architecture,K_C,K_D,n_binders,gradient_scale,mean_attachments_over_K_D,plotted_axis_coordinate,mean,lower_95_percent,upper_95_percent,trajectory_count,curve_role,arrival_time_limit,recording_time_limit,mean_recorded_duration,path_ci_time_limit,mean_path_ci_duration,observation_lag,mobile_fraction,effective_K_D_at_start,local_K_C_at_start,cleavage_rate_scale,path_ci_correction_coefficient
constrained thermal motion,mean_field_theory,polarized,10.0,120.43984028956064,10.0,1.001,0.0087221058131971,0.0087221058131971,8.397508714612904,,,,gradient,500000.0,500000.0,96432.03064974972,100000.0,67967.10519784428,378.16482607744985,0.9688545198737308,124.31158426680756,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,116.3301066431441,10.0,1.001,0.0093146957726053,0.0093146957726053,8.559776471291599,,,,gradient,500000.0,500000.0,94100.2837944226,100000.0,67228.69582545117,369.0207207624416,0.9688545198737308,120.06973622655464,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,112.36060824283784,10.0,1.001,0.0099463885173551,0.0099463885173551,8.719318192215749,,,,gradient,500000.0,500000.0,91895.6238383193,100000.0,66507.72351766376,360.3749954443894,0.9688545198737308,115.97263153345418,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,108.5265598821192,10.0,1.001,0.0106196498092305,0.0106196498092305,8.875839117127004,,,,gradient,500000.0,500000.0,89812.53432320176,100000.0,65805.29328531298,352.2060169537324,0.9688545198737308,112.01533115236256,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,104.82333963867583,10.0,1.001,0.0113370899154547,0.0113370899154547,9.02903901826038,,,,gradient,500000.0,500000.0,87845.70845396207,100000.0,65122.4418880974,344.492974329263,0.9688545198737308,108.19306458139586,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,101.24648330270688,10.0,1.001,0.0121014710627041,0.0121014710627041,9.178613008308584,,,,gradient,500000.0,500000.0,85990.0718154459,100000.0,64460.13971911622,337.21596790370944,0.9688545198737308,104.5012241011191,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,97.7916789953439,10.0,1.001,0.0129157151860073,0.0129157151860073,9.32425250740696,,,,gradient,500000.0,500000.0,84240.79822839735,100000.0,63819.29334116836,330.3560714839112,0.9688545198737308,100.93535921996724,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,94.45476197070748,10.0,1.001,0.0137829119766258,0.0137829119766258,9.465646371445525,,,,gradient,500000.0,500000.0,82593.31973565336,100000.0,63200.74848829299,323.8953715123661,0.9688545198737308,97.49117130920504,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,91.2317095953306,10.0,1.001,0.0147063272324095,0.0147063272324095,9.602482180946833,,,,gradient,500000.0,500000.0,81043.33164219311,100000.0,62605.29335901882,317.8169868321298,0.9688545198737308,94.16450842095536,10.0,0.002,1.0
constrained thermal motion,mean_field_theory,polarized,10.0,88.11863649889834,10.0,1.001,0.0156894115134685,0.0156894115134685,9.73444768623678,,,,gradient,500000.0,500000.0,79586.79344994652,100000.0,62033.66204377834,312.10507235273144,0.9688545198737308,90.95136028305129,10.0,0.002,1.0
