condition,plot_condition,log10_d_eff_um2_s,mean_density,sd_density,n_biological_replicates,min_n_tracks,mean_n_tracks
noSBA_NAI,+ NAI,-3.7517084282460136,0.3973853159148839,0.060410078758313605,3,81,202.0
noSBA_NAI,+ NAI,-3.742596810933941,0.3981743272698379,0.06052101292155114,3,81,202.0
noSBA_NAI,+ NAI,-3.733485193621868,0.39893254903890824,0.060614318520774674,3,81,202.0
noSBA_NAI,+ NAI,-3.7243735763097954,0.3996621892729037,0.06068943747025808,3,81,202.0
noSBA_NAI,+ NAI,-3.715261958997722,0.4003653776634728,0.060745684986322976,3,81,202.0
noSBA_NAI,+ NAI,-3.706150341685649,0.4010441535267754,0.06078225356631952,3,81,202.0
noSBA_NAI,+ NAI,-3.6970387243735763,0.4017004545682485,0.06079821822742368,3,81,202.0
noSBA_NAI,+ NAI,-3.6879271070615034,0.40233610651714585,0.06079254291974415,3,81,202.0
noSBA_NAI,+ NAI,-3.6788154897494305,0.402952813712072,0.060764088017861005,3,81,202.0
noSBA_NAI,+ NAI,-3.6697038724373576,0.4035521507104814,0.060711618787032455,3,81,202.0
noSBA_NAI,+ NAI,-3.6605922551252847,0.4041355549861357,0.060633814714874334,3,81,202.0
noSBA_NAI,+ NAI,-3.651480637813212,0.40470432076890184,0.060529279596211044,3,81,202.0
noSBA_NAI,+ NAI,-3.642369020501139,0.4052595940711368,0.06039655225789013,3,81,202.0
noSBA_NAI,+ NAI,-3.633257403189066,0.4058023689343286,0.0602341178113748,3,81,202.0
noSBA_NAI,+ NAI,-3.624145785876993,0.4063334849187597,0.06004041932357766,3,81,202.0
noSBA_NAI,+ NAI,-3.6150341685649203,0.4068536258478523,0.059813869800431886,3,81,202.0
noSBA_NAI,+ NAI,-3.6059225512528474,0.40736331980764,0.059552864382737984,3,81,202.0
noSBA_NAI,+ NAI,-3.5968109339407746,0.4078629403906044,0.05925579265958748,3,81,202.0
noSBA_NAI,+ NAI,-3.5876993166287017,0.40835270916205424,0.058921051010903835,3,81,202.0
noSBA_NAI,+ NAI,-3.578587699316629,0.4088326993163891,0.058547054897037154,3,81,202.0
noSBA_NAI,+ NAI,-3.569476082004556,0.4093028404801084,0.05813225101974957,3,81,202.0
noSBA_NAI,+ NAI,-3.560364464692483,0.40976292460841424,0.057675129285127455,3,81,202.0
noSBA_NAI,+ NAI,-3.55125284738041,0.4102126129127844,0.057174234504842485,3,81,202.0
noSBA_NAI,+ NAI,-3.5421412300683373,0.41065144374808565,0.056628177777663456,3,81,202.0
noSBA_NAI,+ NAI,-3.5330296127562644,0.4110788413797217,0.05603564749816086,3,81,202.0
noSBA_NAI,+ NAI,-3.5239179954441915,0.41149412554406073,0.055395419944135924,3,81,202.0
noSBA_NAI,+ NAI,-3.5148063781321186,0.411896521709014,0.05470636939846,3,81,202.0
noSBA_NAI,+ NAI,-3.5056947608200457,0.4122851719362161,0.053967477764797316,3,81,202.0
noSBA_NAI,+ NAI,-3.496583143507973,0.41265914624183836,0.05317784364016034,3,81,202.0
noSBA_NAI,+ NAI,-3.4874715261959,0.41301745434966136,0.052336690810491214,3,81,202.0
noSBA_NAI,+ NAI,-3.478359908883827,0.4133590577277044,0.05144337613862171,3,81,202.0
noSBA_NAI,+ NAI,-3.4692482915717537,0.41368288179845053,0.05049739681707729,3,81,202.0
noSBA_NAI,+ NAI,-3.4601366742596813,0.41398782821251207,0.04949839696143858,3,81,202.0
noSBA_NAI,+ NAI,-3.451025056947608,0.4142727870764742,0.048446173523475286,3,81,202.0
noSBA_NAI,+ NAI,-3.4419134396355355,0.4145366490275784,0.04734068150714714,3,81,202.0
noSBA_NAI,+ NAI,-3.432801822323462,0.4147783170508614,0.04618203847505364,3,81,202.0
noSBA_NAI,+ NAI,-3.4236902050113898,0.41499671793828224,0.044970528338182894,3,81,202.0
noSBA_NAI,+ NAI,-3.4145785876993164,0.4151908132942224,0.043706604428187024,3,81,202.0
noSBA_NAI,+ NAI,-3.405466970387244,0.41535960999744576,0.04239089185929499,3,81,202.0
noSBA_NAI,+ NAI,-3.3963553530751707,0.4155021700361121,0.04102418919693975,3,81,202.0
noSBA_NAI,+ NAI,-3.3872437357630982,0.41561761963965277,0.03960746946309357,3,81,202.0
noSBA_NAI,+ NAI,-3.378132118451025,0.4157051576391558,0.038141880525477276,3,81,202.0
noSBA_NAI,+ NAI,-3.3690205011389525,0.41576406299630647,0.03662874494129921,3,81,202.0
noSBA_NAI,+ NAI,-3.359908883826879,0.41579370144975475,0.03506955935916226,3,81,202.0
noSBA_NAI,+ NAI,-3.3507972665148067,0.41579353123696405,0.03346599363055674,3,81,202.0
noSBA_NAI,+ NAI,-3.3416856492027334,0.4157631078590333,0.0318198898534993,3,81,202.0
noSBA_NAI,+ NAI,-3.332574031890661,0.41570208786554624,0.030133261680105182,3,81,202.0
noSBA_NAI,+ NAI,-3.3234624145785876,0.4156102316461417,0.028408294392591196,3,81,202.0
noSBA_NAI,+ NAI,-3.314350797266515,0.4154874052250486,0.026647346534071015,3,81,202.0
noSBA_NAI,+ NAI,-3.305239179954442,0.4153335810642537,0.024852954355829498,3,81,202.0
noSBA_NAI,+ NAI,-3.2961275626423694,0.4151488378901305,0.02302784117357959,3,81,202.0
