crosslinking,contrast_threshold_percent,mean_field_area_percent,sd_field_area_percent,n_biological_replicates,biological_replicate_values
SBA,17.75,2.532648656311416,2.0541576276784306,3,4.6347188;0.53001523;2.433212
SBA,18.0,2.4553500880226165,2.0187842890646506,3,4.5371286;0.50608941;2.3228322
SBA,18.25,2.3803840809861936,1.978472074937981,3,4.434617;0.48756149;2.2189738
SBA,18.5,2.3106228306418255,1.9398667749837242,3,4.3375803;0.47151369;2.1227745
SBA,18.75,2.2457962622583056,1.9021636289564252,3,4.2431076;0.45575766;2.0385235
SBA,19.0,2.177482380612147,1.8642631220651,3,4.1478309;0.44146053;1.9431558
SBA,19.25,2.1148264941014285,1.828680863251587,3,4.0590386;0.42920584;1.856235
SBA,19.5,2.054186261118581,1.7941772871067685,3,3.9698451;0.41315803;1.7795557
SBA,19.75,1.9957328201386746,1.7628090312278712,3,3.8871535;0.39856912;1.7014758
SBA,20.0,1.9399399754081041,1.731544681554064,3,3.8054265;0.38412609;1.6302673
SBA,20.25,1.8873754369328513,1.6992070679710505,3,3.7249228;0.37289263;1.5643108
SBA,20.5,1.8301314744510904,1.6680137393643761,3,3.6423292;0.35903316;1.4890321
SBA,20.75,1.7817427189277362,1.634414704274453,3,3.5621565;0.34940448;1.4336671
SBA,21.0,1.7333991076557893,1.6020401238991766,3,3.4826445;0.33758746;1.3799653
SBA,21.25,1.6856082101779,1.5719156591077437,3,3.4074021;0.32722933;1.3221932
SBA,21.5,1.6411189827313377,1.5449897996269528,3,3.3388405;0.31760065;1.2669158
SBA,21.75,1.5955722746081784,1.5167046039925303,3,3.2674565;0.30797197;1.2112883
SBA,22.0,1.55261016382358,1.487625304744425,3,3.1959922;0.29790562;1.1639327
SBA,22.25,1.5104771177752123,1.4602050810652427,3,3.1270734;0.28725571;1.1171023
SBA,22.5,1.4727816047976088,1.4339464787603935,3,3.063487;0.2793777;1.0754801
SBA,22.75,1.4345843792802764,1.4059660429655192,3,2.9971409;0.27179146;1.0348208
SBA,23.0,1.3996731209624613,1.3776796805364087,3,2.9326433;0.26508056;1.0012955
SBA,23.25,1.3643925642454686,1.3502741813764234,3,2.8693429;0.25895322;0.96488157
SBA,23.5,1.329989701976682,1.324999515548753,3,2.8085881;0.25019987;0.93118118
SBA,23.75,1.2964332721984022,1.3000919948965937,3,2.7496285;0.24363486;0.89603648
SBA,24.0,1.263320223124908,1.2715794647368532,3,2.6861051;0.23779929;0.86605627
SBA,24.25,1.2310162120791746,1.2477446642132792,3,2.629298;0.23108839;0.83266224
SBA,24.5,1.2006173837343956,1.2219921348321623,3,2.5714372;0.2255446;0.80487036
SBA,24.75,1.1707574948667447,1.1983897974086954,3,2.5168271;0.21985493;0.77559041
SBA,25.0,1.1424251537788175,1.1750857065350377,3,2.4641737;0.21591592;0.7471858
noSBA,0.0,100.0,0.0,3,100;100;100
