explore_to_exploit_demand_ratio,reader_cleaver_coordinate,explore_density,escape_density,exploit_density,total_density,explore_fraction,escape_fraction,exploit_fraction,explore_escape_center,exploit_center,display_width
0.05,-2.0567944959278814,0.0004051934337412,0.0018216300814949,3.072733537051724e-07,0.0022271307885898,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.052720655890903,0.0004183386351344,0.0018807270270304,3.251115080842642e-07,0.0022993907736729,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.048646815853924,0.0004318635253629,0.0019415309415006,3.439479766925467e-07,0.0023737384148402,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0445729758169455,0.0004457774036108,0.0020040836312929,3.638364031433242e-07,0.002450224871307,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0404991357799673,0.0004600897407972,0.0020684276748635,3.8483318442581034e-07,0.0025289022488452,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0364252957429887,0.000474810180941,0.0021346064288754,4.069976049858754e-07,0.0026098236074214,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.03235145570601,0.0004899485424754,0.002202664034106,4.303919769439561e-07,0.0026930429685583,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0282776156690314,0.0005055148195078,0.0022726454211126,4.550817867106452e-07,0.0027786153224072,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0242037756320532,0.000521519183024,0.0023445963156447,4.81135848270403e-07,0.002866596634517,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
0.05,-2.0201299355950746,0.0005379719820326,0.0024185632437909,5.086264634142948e-07,0.002957043852287,0.0447152231896085,0.2010264453469952,0.7542583314633963,-0.8535831071244682,0.0683214254801594,0.3914968086627235
