architecture,phi_b,chi_C,exploration_range_score,gradient_guidance_score,escape_score,exploit_score,passive_score
polarized,0.1405938226268935,0.0010918905346848,0.0005142437153577,0.5867158985317875,0.0001869951122026,0.9853215751518616,0.0475388983054397
polarized,0.1497305428201024,0.0010918905346848,0.0004921348039923,0.5857103248305484,0.0001402481574654,0.9895562586454756,0.0383173942721533
polarized,0.1594610277629228,0.0010918905346848,0.0004709599260779,0.5858964775733536,0.0001030731653148,0.9925944566220714,0.0303710221680854
polarized,0.1698238642316188,0.0010918905346848,0.0004433268585801,0.5865428954629827,7.471400570536395e-05,0.9948476445760754,0.0236360415619768
polarized,0.1808601466274073,0.0010918905346848,0.0004177593481148,0.5875445860636838,5.6262971852128766e-05,0.9965900594898052,0.0180301518604619
polarized,0.1926136399385797,0.0010918905346848,0.0003862787245155,0.5887955702588078,4.289879733200713e-05,0.9979041876694834,0.0134555425108542
polarized,0.2051309532929834,0.0010918905346848,0.0003594913102527,0.5901878986540178,3.22458328003769e-05,0.9986131241010132,0.0098026585742171
polarized,0.2184617247890967,0.0010918905346848,0.0003276289032006,0.5922701979961428,2.3837347450607577e-05,0.9988247899702796,0.0069545578253667
polarized,0.2326588183386534,0.0010918905346848,0.0002980881446657,0.5953808192564352,1.7281405689505497e-05,0.998642597586522,0.0047915666045914
polarized,0.2477785333014092,0.0010918905346848,0.0002720346617834,0.5990967154600574,1.2246919012174306e-05,0.997534564090777,0.0031959383292838
