architecture,K_C,K_D,n_binders,n_trajectories,detached_fraction,median_path_in_persistence_lengths,recurrence_range_screen,finite_time_free_range,included_in_repeated_return_comparison
polarized,1.0,1.0,4,64,1.0,31.507993320651767,1693.0376519454878,1693.0376519454878,False
polarized,1.0,10.0,4,64,1.0,73.21969616437907,687.8918147375657,1630.1698999640996,True
polarized,1.0,50.0,4,64,1.0,48.68237376273232,749.4810064657426,1707.5133263990838,True
polarized,1.0,100.0,4,256,1.0,38.48326807502707,1519.0808466023536,1893.7518426243216,True
polarized,1.0,200.0,4,256,0.95703125,33.8558283088628,2012.5875616583896,2012.5875616583896,False
polarized,1.0,1000.0,4,128,0.0,8.713767693162819,1960.2955679826991,1960.2955679826991,False
polarized,1.0,1.0,10,64,1.0,21.40485023418707,833.3755212019128,833.3755212019128,False
polarized,1.0,10.0,10,64,1.0,259.72799945599803,475.2834339460194,983.4926398513188,True
polarized,1.0,50.0,10,64,1.0,593.5638231393924,503.0381842886581,1254.9775446284232,True
polarized,1.0,100.0,10,256,0.87890625,365.36965019230337,1067.094734654517,1479.5119227176417,True
polarized,1.0,200.0,10,256,0.4140625,149.17764389609022,1694.2732726169477,1694.2732726169477,False
polarized,1.0,1000.0,10,128,0.0,11.245323345609991,1749.6968611872323,1749.6968611872323,False
polarized,1.0,1.0,16,64,0.796875,176.56723443725866,537.7698132151753,537.7698132151753,False
polarized,1.0,10.0,16,64,1.0,911.4779827565682,469.40314580808587,632.8855247020297,True
polarized,1.0,50.0,16,64,0.8125,1538.3090552693336,367.8494428519395,860.4325119942301,True
polarized,1.0,100.0,16,64,0.328125,852.839986006041,724.3914452491321,1011.2303206090688,False
polarized,1.0,200.0,16,64,0.046875,275.11909863825787,1243.9825706277625,1243.9825706277625,False
polarized,1.0,1000.0,16,128,0.0,13.429121412443914,1587.775295474523,1587.775295474523,False
polarized,10.0,1.0,4,64,1.0,34.00815196064114,1837.5834385584672,1837.5834385584672,False
polarized,10.0,10.0,4,64,1.0,47.9707425507661,533.4166437024289,2296.749585168345,True
polarized,10.0,50.0,4,64,1.0,53.20563732482648,511.63294152485514,2104.4680872032477,True
polarized,10.0,100.0,4,256,1.0,46.81900360276422,939.3349188928588,2053.930415787007,True
polarized,10.0,200.0,4,256,0.9296875,45.144873740673184,2034.6492716759813,2034.6492716759813,False
polarized,10.0,1000.0,4,128,0.0,9.356020395167464,1960.2955688343925,1960.2955688343925,False
polarized,10.0,1.0,10,64,1.0,18.999478778231232,845.6920406054284,845.6920406054284,False
polarized,10.0,10.0,10,64,1.0,148.43594685930282,307.78445011618976,1256.547084480411,True
polarized,10.0,50.0,10,64,1.0,475.5047593894009,373.4418699419955,1657.747362755208,True
polarized,10.0,100.0,10,256,0.93359375,313.91998620528693,713.5973614036446,1751.0716295017046,True
polarized,10.0,200.0,10,256,0.46875,150.1651497192421,1604.697554524127,1783.85616796808,False
polarized,10.0,1000.0,10,128,0.0,11.515286388517096,1749.699124999977,1749.699124999977,False
polarized,10.0,1.0,16,64,0.84375,201.81125281202867,585.6696140052996,585.6696140052996,False
polarized,10.0,10.0,16,64,1.0,302.7091358000501,360.60432548727454,908.2824685411894,True
polarized,10.0,50.0,16,64,1.0,502.6357299428092,355.7235571584651,1370.594411476348,True
polarized,10.0,100.0,16,213,0.6431924882629108,542.3965580800128,671.1453747362314,1535.7870701031927,False
polarized,10.0,200.0,16,64,0.046875,266.1570354117297,1426.7786410084682,1603.0242161168965,False
polarized,10.0,1000.0,16,128,0.0,13.694668721483136,1594.6477121452513,1594.6477121452513,False
