architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,speed,orientational_persistence_time,active_diffusivity,mobile_fraction,local_depletion_probability,receptor_contrast,persistence_length,diffusivity_shift
polarized,5.817091329374358,10.0,4.0,16.0,1.9563014193126704,0.4890753548281675,0.0908131971202118,246.3920115678539,0.6924710148366563,1.0,0.9798564814545409,0.9559668632027216,22.37564631535703,0.6924710148366563
polarized,5.462544123409224,10.0,4.0,16.0,2.019179602894386,0.5047949007235963,0.0882913772535967,260.3056417940097,0.6907663596576098,1.0,0.98327634437431,0.9597243442729848,22.98274362087453,0.6907663596576098
polarized,5.129606294732514,10.0,4.0,16.0,2.082019890970006,0.5205049727425015,0.0857481586595946,274.47323110209084,0.6862685006954727,1.0,0.9861838347798592,0.9633841304726916,23.53557416835368,0.6862685006954727
polarized,4.816960768554367,10.0,4.0,16.0,2.1446983796505745,0.5361745949126436,0.0831951141976362,288.729938379947,0.6788402756126188,1.0,0.9886086057067642,0.966917977558954,24.02092019579616,0.6788402756126188
polarized,4.523370744772102,10.0,4.0,16.0,2.207092438808481,0.5517731097021202,0.0806426164734248,302.88875108930904,0.6683946365674166,1.0,0.9905953534793946,0.9703015199410618,24.425741388209797,0.6683946365674166
polarized,4.247674805290287,10.0,4.0,16.0,2.269081665554522,0.5672704163886305,0.078099890735593,316.74460841363,0.6549049211526512,1.0,0.9921968799098828,0.9735143587891442,24.737719308192723,0.6549049211526512
polarized,3.988782319545844,10.0,4.0,16.0,2.3305488008397424,0.5826372002099356,0.0755750820245464,330.080499644447,0.63841358318419,1.0,0.9934681643734684,0.976540081351216,24.94586083533234,0.63841358318419
polarized,3.745669130062843,10.0,4.0,16.0,2.3913805945904496,0.5978451486476124,0.0730753315560091,342.6753979370073,0.6190382312852257,1.0,0.9944618608667688,0.9793662167403684,25.041118320334167,0.6190382312852257
polarized,3.517373500969382,10.0,4.0,16.0,2.451468606217956,0.612867151554489,0.0706068580313287,354.3136307902771,0.5969738809885847,1.0,0.9952253013037684,0.9819841331896776,25.016972227773728,0.5969738809885847
polarized,3.302992313449222,10.0,4.0,16.0,2.5107099291087938,0.6276774822771984,0.0681750402654151,364.795030935631,0.5724905772186801,1.0,0.9957988348242324,0.98438888144515,24.86991592265999,0.5724905772186801
polarized,3.101677493077699,10.0,4.0,16.0,2.5690078297239425,0.6422519574309856,0.0657844981892863,373.94500714023985,0.5459259856931068,1.0,0.996215191950112,0.986578988673738,24.599784645109786,0.5459259856931068
polarized,2.912632654908738,10.0,4.0,16.0,2.6262722941363896,0.6565680735340974,0.0634391699456439,381.6235759780914,0.5176731338652291,1.0,0.9964995228556616,0.988556207075112,24.2098828917385,0.5176731338652291
polarized,2.735109953041209,10.0,4.0,16.0,2.682420477131129,0.6706051192827822,0.0611423833660562,387.7324394975408,0.4881641076546918,1.0,0.996669790387374,0.9903252214888656,23.706885459214845,0.4881641076546918
polarized,2.5684071222017817,10.0,4.0,16.0,2.73737705129727,0.6843442628243175,0.0588969206972881,392.2193872212007,0.4578510605345131,1.0,0.9967372659879368,0.9918933206602308,23.100514145106025,0.4578510605345131
polarized,2.411864699640997,10.0,4.0,16.0,2.791074455779968,0.697768613944992,0.0567050759510319,395.0796160224545,0.4271862510821271,1.0,0.9967069525818744,0.9932700375903404,22.403019633257824,0.4271862510821271
polarized,2.2648634163526316,10.0,4.0,16.0,2.843453046460448,0.710863261615112,0.054568704731382,396.3539399206573,0.3966029199623383,1.0,0.996577826402802,0.9944667654842811,21.62852111665027,0.3966029199623383
polarized,2.1268217472962094,10.0,4.0,16.0,2.8944611512366407,0.7236152878091602,0.0524892668313885,396.12423069924546,0.3664986338981301,1.0,0.9963428438208736,0.9954963571459944,20.7922704435512,0.3664986338981301
polarized,1.99719361093156,10.0,4.0,16.0,2.94405503573889,0.7360137589347225,0.0504678622399193,394.50672179789075,0.3372223122180434,1.0,0.995988700732415,0.9963727171043956,19.90991088841812,0.3372223122180434
polarized,1.8754662089649552,10.0,4.0,16.0,2.9921987862026147,0.7480496965506537,0.0485052615498707,391.6439773139953,0.3090656086409744,1.0,0.9954953657251344,0.9971103970110308,18.99679355404698,0.3090656086409744
