architecture,K_D,K_C,n_binders,n_cleavers,mean_attachments,attachment_probability,probability_of_at_least_one_attachment,relative_mobility,attachment_lifetime,attachment_friction
polarized,3.101677493077699,10.0,4.0,16.0,2.5690078297239425,0.6422519574309856,0.9836201822708064,0.0818934046453609,0.4363939815193953,1.121099555367732
polarized,2.912632654908738,10.0,4.0,16.0,2.6262722941363896,0.6565680735340974,0.9860888618330592,0.0757302371095157,0.4647181951737353,1.2204765205658483
polarized,2.735109953041209,10.0,4.0,16.0,2.682420477131129,0.6706051192827822,0.9882275357239568,0.0700536003514223,0.4948807959578509,1.327478380816291
polarized,2.5684071222017817,10.0,4.0,16.0,2.73737705129727,0.6843442628243175,0.9900721604674732,0.0648255884125119,0.5270011046507815,1.4426007298793604
polarized,2.411864699640997,10.0,4.0,16.0,2.791074455779968,0.697768613944992,0.991656308243746,0.0600107448610793,0.5612061865637605,1.5663682517437991
polarized,2.2648634163526316,10.0,4.0,16.0,2.843453046460448,0.710863261615112,0.9930110310574972,0.0555760354863959,0.597631354200182,1.6993366947607906
polarized,2.1268217472962094,10.0,4.0,16.0,2.8944611512366407,0.7236152878091602,0.994164795672466,0.0514907870282462,0.6364207025407851,1.8420949993470328
polarized,1.99719361093156,10.0,4.0,16.0,2.94405503573889,0.7360137589347225,0.995143480148345,0.0477266009590527,0.6777276790715997,1.9952675864303735
polarized,1.8754662089649552,10.0,4.0,16.0,2.9921987862026147,0.7480496965506537,0.9959704222202816,0.0442572497709852,0.721715690809637,2.1595168140239775
polarized,1.7611579977610468,10.0,4.0,16.0,3.0388641173144633,0.7597160293286158,0.9966665096668088,0.0410585618287859,0.7685587507276694,2.335545609634346
polarized,1.6538167833956727,10.0,4.0,16.0,3.084030113645213,0.7710075284113033,0.9972503031356014,0.0381082996367143,0.8184421661353031,2.524100286638293
polarized,1.553017932813719,10.0,4.0,16.0,3.127682913788155,0.7819207284470389,0.997738182545008,0.0353860353303904,0.8715632717395217,2.725973553305005
