architecture,K_D,speed
mixed,2.636387528837637,0.0623700393672157
mixed,2.68242304113099,0.062868064731816
mixed,2.729262406563888,0.063369130465523
mixed,2.7769196616884995,0.0638732199431656
mixed,2.8254090881574823,0.0643803148983225
mixed,2.874745217003825,0.0648903953608411
mixed,2.9249428329954266,0.0654034395955279
mixed,2.976016979065706,0.0659194240322645
mixed,3.0279829608215865,0.0664383232037611
mixed,3.08085635113019,0.0669601096747551
mixed,3.134652994785624,0.0674847539719599
mixed,3.189389013257261,0.068012224514359
mixed,3.2450808095209256,0.0685424875359199
mixed,3.301745072974444,0.0690755070147322
mixed,3.3593987844390276,0.0696112445946121
mixed,3.418059221247992,0.0701496595076263
mixed,3.4777439624243187,0.0706907084947056
mixed,3.538470893948648,0.0712343457248769
mixed,3.60025821411924,0.0717805227131095
mixed,3.663124439005536,0.0723291882368513
mixed,3.72708840799695,0.072880288251351
mixed,3.79216928944855,0.0734337658037739
mixed,3.858386586425317,0.0739895609462773
mixed,3.9257601425467135,0.0745476106480858
mixed,3.9943101479333056,0.0751078487066864
mixed,4.064057145257223,0.0756702056582893
mixed,4.135022035898269,0.0762346086876093
mixed,4.207226086207523,0.0768009815371883
mixed,4.280690933880321,0.0773692444163568
mixed,4.35543859444052,0.077939313910009
mixed,4.431491467837972,0.0785111028873956
mixed,4.508872345161228,0.0790845204122213
mixed,4.587604415467426,0.0796594716462332
mixed,4.667711272731467,0.0802358577707273
mixed,4.749216922916511,0.0808135758858005
mixed,4.832145791167954,0.0813925189280348
mixed,4.916522729133014,0.0819725755825928
mixed,5.002373022408124,0.0825536301981264
mixed,5.089722398116383,0.083135562703626
mixed,5.178597032617307,0.0837182485275274
mixed,5.269023559351216,0.0843015585194073
mixed,5.361029076820579,0.0848853588746521
mixed,5.454641156710748,0.0854695110600803
mixed,5.5498878521524855,0.0860538717571905
mixed,5.646797706128749,0.0866382927747764
mixed,5.745399760028305,0.087222621012358
mixed,5.845723562348681,0.0878066983938457
mixed,5.947799177551087,0.088390361820536
mixed,6.051657195069956,0.0889734431286275
mixed,6.1573287384798245,0.0895557690470893
mixed,6.2648454748222555,0.0901371611775049
mixed,6.374239624095634,0.0907174359611037
mixed,6.48554396891068,0.0912964046688114
mixed,6.598791864314551,0.0918738733936932
mixed,6.714017247786481,0.0924496430557818
mixed,6.831254649407985,0.0930235094016183
mixed,6.950539202210622,0.0935952630509107
mixed,7.071906652704471,0.0941646895043466
mixed,7.195393371590431,0.0947315691996366
mixed,7.321036364659589,0.0952956775644543
mixed,7.448873283882906,0.0958567850840393
mixed,7.578942438694532,0.096414657381614
mixed,7.711282807472169,0.0969690553120752
mixed,7.845934049217885,0.0975197350694851
mixed,7.982936515442894,0.0980664483088354
mixed,8.122331262259861,0.0986089422825464
mixed,8.264160062686368,0.0991469599921614
mixed,8.408465419163221,0.0996802403555557
mixed,8.555290576291311,0.1002085183901405
mixed,8.704679533790936,0.1007315254121468
mixed,8.85667705968737,0.1012489892527997
mixed,9.01132870372669,0.1017606344907422
mixed,9.168680811025862,0.1022661827017297
mixed,9.32878053596118,0.1027653527252165
mixed,9.491675856299228,0.1032578609479728
mixed,9.65741558757456,0.1037434216047718
mixed,9.826049397718482,0.1042217470959846
mixed,9.99762782194324,0.1046925483218617
mixed,10.172202277886123,0.1051555350334381
mixed,10.349825081018022,0.1056104161993689
mixed,10.530549460320984,0.1060569003885964
mixed,10.714429574239634,0.1064946961681079
mixed,10.901520526911014,0.1069235125152705
mixed,11.091878384677894,0.1073430592439147
mixed,11.285560192890417,0.1077530474434579
mixed,11.482623993001113,0.1081531899328389
mixed,11.683128839958428,0.1085432017089867
mixed,11.887134819903972,0.1089228004465561
mixed,12.094703068178802,0.1092917069513176
mixed,12.305895787644094,0.1096496456623111
mixed,12.520776267321748,0.1099963451435279
mixed,12.73940890136047,0.1103315385829341
mixed,12.961859208333056,0.1106549642945226
mixed,13.188193850870617,0.1109663662218009
mixed,13.418480655639623,0.1112654944409425
mixed,13.652788633667866,0.1115521056619493
mixed,13.891188001025242,0.1118259637259624
mixed,14.13375019986572,0.1120868400968859
mixed,14.38054791983672,0.1123345143454668
mixed,14.631655119862309,0.112568774625159
mixed,14.887147050306812,0.1127894181292023
mixed,15.14710027552538,0.1129962515530502
mixed,15.411592696808391,0.1131890915168484
mixed,15.680703575726438,0.1133677649895317
mixed,15.954513557882986,0.113532109686652
mixed,16.23310469708179,0.1136819744488749
mixed,16.516560479916294,0.1138172195981872
mixed,16.804965850788438,0.1139377172701993
mixed,17.098407237364274,0.1140433517210115
mixed,17.39697257647414,0.1141340196071913
mixed,17.700751340465075,0.114209630237575
mixed,18.009834564013335,0.1142701057956592
mixed,18.324314871405186,0.1143153815315344
mixed,18.64428650429398,0.1143454059224344
mixed,18.969845349942013,0.114360140801108
mixed,19.301088969955376,0.1143595614513987
mixed,19.63811662952075,0.1143436566705621
mixed,19.98102932715257,0.1143124287980145
mixed,20.329929824959702,0.1142658937103698
mixed,20.684922679440614,0.1142040807828096
mixed,21.046114272816222,0.1141270328169447
mixed,21.413612844909963,0.1140348059355643
mixed,21.787528525584413,0.1139274694447622
mixed,22.167973367744448,0.1138051056641308
mixed,22.555061380916573,0.1136678097258463
mixed,22.94890856541464,0.1135156893436194
mixed,23.349632947102172,0.1133488645526129
mixed,23.75735461276167,0.1131674674215894
mixed,24.172195746081535,0.1129716417386124
mixed,24.59428066427135,0.1127615426718
mixed,25.023735855316584,0.1125373364086648
mixed,25.46069001588377,0.112299199761717
mixed,25.90527408988758,0.1120473197840412
mixed,26.357621307731343,0.1117818933266137
mixed,26.81786722623278,0.1115031266092185
mixed,27.286149769246897,0.1112112347648265
mixed,27.762609268998155,0.1109064413732941
mixed,28.247388508134527,0.1105889779843404
mixed,28.740632762515705,0.1102590836316479
mixed,29.242489844748555,0.1099170043399949
mixed,29.753110148482772,0.1095629926273123
mixed,30.272646693479956,0.1091973070034422
mixed,30.801255171469727,0.1088202114674014
mixed,31.33909399280646,0.1084319750049096
mixed,31.886324333940895,0.1080328710878106
mixed,32.4431101857205,0.1076231771770062
mixed,33.009618402533306,0.1072031742304419
mixed,33.586018752309926,0.1067731462175458
mixed,34.172483967398556,0.1063333796415275
mixed,34.769189796328504,0.1058841630707715
mixed,35.37631505647738,0.1054257866804945
mixed,35.9940416876582,0.1049585418057924
mixed,36.62255480664197,0.104482720506986
mixed,37.26204276263245,0.1039986151460743
mixed,37.91269719370955,0.1035065179899769
mixed,38.57471308425834,0.1030067207965023
mixed,39.24828882340089,0.1024995144582246
mixed,39.93362626444824,0.1019851886301913
mixed,40.630930785390845,0.1014640313865756
mixed,41.34041135044492,0.1009363288917927
mixed,42.0622805726737,0.1004023650882815
mixed,42.79675477770209,0.0998624214012403
mixed,43.544054068543915,0.0993167764603435
mixed,44.30440239156101,0.0987657058384587
mixed,45.07802760357436,0.0982094818072786
mixed,45.8651615401468,0.0976483731097378
mixed,46.666040085058206,0.0970826447491215
mixed,47.48090324099377,0.0965125577944817
