architecture,K_D,K_C,n_binders,n_cleavers,receptor_contrast,locally_depleted_fraction,mobile_fraction,diffusivity_shift
mixed,100.0,1.213482767749143,10.0,10.0,0.034961707419602,0.0603244359793669,0.939675564020633,0.0279081768721578
mixed,100.0,1.3111339374215645,10.0,10.0,0.0363443834526802,0.0735613352934562,0.9264386647065438,0.0290939349558674
mixed,100.0,1.4166432746690207,10.0,10.0,0.0377818845570926,0.0889943926766355,0.9110056073233644,0.0301925433376322
mixed,100.0,1.530643140556358,10.0,10.0,0.0392763971848324,0.1067958919382889,0.893204108061711,0.031175498108691
mixed,100.0,1.6538167833956732,10.0,10.0,0.0408301961349133,0.1270989187422962,0.8729010812577037,0.0320132136055584
mixed,100.0,1.7869024337358286,10.0,10.0,0.0424456482338033,0.1499823827542817,0.8500176172457182,0.0326763120555891
mixed,100.0,1.9306977288832496,10.0,10.0,0.0441252161804559,0.1754567434849162,0.8245432565150838,0.0331371954017579
mixed,100.0,2.0860644934719565,10.0,10.0,0.045871462564152,0.2034521742897499,0.7965478257102501,0.0333718010501931
mixed,100.0,2.253933904734791,10.0,10.0,0.0476870540678711,0.2338110167470248,0.7661889832529751,0.0333613892861089
mixed,100.0,2.435312073433415,10.0,10.0,0.0495747658512281,0.2662861764498012,0.7337138235501988,0.0330941695383036
mixed,100.0,2.631286073895942,10.0,10.0,0.0515374861615779,0.3005465438138176,0.6994534561861824,0.0325665591803615
mixed,100.0,2.8430304593026623,10.0,10.0,0.053578221128523,0.3361896394298094,0.6638103605701906,0.0317838920847512
mixed,100.0,3.0718143012686965,10.0,10.0,0.0557000998053844,0.3727606300580205,0.6272393699419795,0.0307604558531807
mixed,100.0,3.319008795914677,10.0,10.0,0.0579063794415395,0.4097758690463254,0.5902241309536745,0.0295188273078271
mixed,100.0,3.586095482011829,10.0,10.0,0.0602004510089018,0.4467484161853702,0.5532515838146298,0.0280885764993202
mixed,100.0,3.874675120456128,10.0,10.0,0.062585844996421,0.4832127562967913,0.5167872437032087,0.0265044975776394
mixed,100.0,4.186477288289951,10.0,10.0,0.0650662374889817,0.5187462049415883,0.4812537950584117,0.0248045810079856
mixed,100.0,4.523370744772101,10.0,10.0,0.0676454565484935,0.5529851706287093,0.4470148293712906,0.0230279558588715
mixed,100.0,4.887374631624422,10.0,10.0,0.0703274889165038,0.5856353466479336,0.4143646533520663,0.0212130049925802
mixed,100.0,5.280670574582637,10.0,10.0,0.0731164870594508,0.6164758154624208,0.3835241845375791,0.0193958013430333
mixed,100.0,5.705615758781021,10.0,10.0,0.0760167765794905,0.6453577867668302,0.3546422132331698,0.0176089461614528
mixed,100.0,6.164757056337161,10.0,10.0,0.0790328640162261,0.6721991579853077,0.3278008420146923,0.015880825514217
mixed,100.0,6.660846290809154,10.0,10.0,0.082169445066956,0.6969762685960956,0.3030237314039044,0.0142352502626582
mixed,100.0,7.196856730011521,10.0,10.0,0.0854314132559141,0.71971416599286,0.28028583400714,0.0126914121731188
mixed,100.0,7.7760009060380355,10.0,10.0,0.0888238690861841,0.74047649080358,0.25952350919642,0.0112640744653511
mixed,100.0,8.401749869294335,10.0,10.0,0.0923521297114684,0.7593558062440648,0.2406441937559351,0.0099639154691779
mixed,100.0,9.077853991937548,10.0,10.0,0.0960217391675389,0.7764649055233942,0.2235350944766058,0.0087979542680917
mixed,100.0,9.80836544540667,10.0,10.0,0.099838479220065,0.7919293764005663,0.2080706235994337,0.0077700025962669
mixed,100.0,10.0,10.0,10.0,0.100816354496544,0.7955539497297028,0.2044460502702972,0.0075347558475779
