architecture,K_D,directional_persistence_time
polarized,203.25107203617085,945.4002621850392
polarized,206.8001584747202,961.8349599422204
polarized,210.41121759770417,978.314154445562
polarized,214.08533154659287,994.8282778437164
polarized,217.8236013587646,1011.3676792306114
polarized,221.6271472974588,1027.922647007038
polarized,225.49710918748912,1044.483431555166
polarized,229.43464675682105,1061.0402681134974
polarized,233.4409399841113,1077.5833997379586
polarized,237.51718945231772,1094.1031002341044
polarized,241.6646167084828,1110.5896969456155
polarized,245.8844646297999,1127.0335932854507
polarized,250.17799779607168,1143.4252908982178
polarized,254.54650286867204,1159.7554113454107
polarized,258.9912889761254,1176.0147172092
polarized,263.51368810641884,1192.194132515299
polarized,268.1150555061646,1208.2847623811072
polarized,272.79677008673275,1224.2779118016776
polarized,277.5602348374751,1240.1651034930778
polarized,282.4068772461656,1255.9380947202526
polarized,287.3381497267805,1271.5888930445303
polarized,292.35553005475094,1287.109770934295
polarized,297.46052180981326,1302.493279190971
polarized,302.6546548265934,1317.7322591513346
polarized,307.9394856530588,1332.8198536360244
polarized,313.3165980169761,1347.7495166230194
polarized,318.78760330051324,1362.5150216336076
polarized,324.35414102312933,1377.110468826958
polarized,330.01787933289654,1391.5302908076917
polarized,335.78051550640106,1405.769257158788
polarized,341.6437764573731,1419.8224777197236
polarized,347.60941925419866,1433.6854046367885
polarized,353.6792316464676,1447.3538332190708
polarized,359.8550326007166,1460.823901639599
polarized,366.13867284552504,1474.092089526526
polarized,372.53203542613306,1487.1552154940443
polarized,379.03703626874017,1500.0104336668512
polarized,385.65562475465936,1512.655229255574
polarized,392.38978430449663,1525.087413243418
polarized,399.24153297253105,1537.305116246642
polarized,406.2129240514736,1549.306781613122
polarized,413.30604668778625,1561.0911578243995
polarized,420.5230265077452,1572.6572902671471
polarized,427.8660262544367,1584.0045124400576
polarized,435.3372464358751,1595.1324366616648
polarized,442.9389259844387,1606.0409443437577
polarized,450.6733429278206,1616.7301758937124
polarized,458.5428150716929,1627.200520307391
polarized,466.54970069429663,1637.4526045122857
polarized,474.6963992531545,1647.4872825182574
polarized,482.98535210412774,1657.3056244307318
polarized,491.4190432330272,1666.9089053784571
polarized,500.0,1676.298594405053
mixed,1.0,543.4848814657183
mixed,1.017461587793829,533.0069069824497
mixed,1.0352280826359388,522.7161895785354
mixed,1.0533048086875232,512.6095854366853
mixed,1.0716971830780824,502.68400447628727
mixed,1.0904107175287991,492.93640940307176
mixed,1.1094510200042598,483.36381477461913
mixed,1.128823796393017,473.9632860814518
mixed,1.1485348522174963,464.7319388434589
mixed,1.1685900943737644,455.6669377214046
mixed,1.1889955329016704,446.7654956432821
mixed,1.2097572827859029,438.0248729452723
mixed,1.2308815657884926,429.4423765270789
mixed,1.2523747123133138,421.0153590214147
mixed,1.2742431633031437,412.74121797741446
mixed,1.2964934721698471,404.6173950577607
mixed,1.3191323067582668,396.6413752493126
mixed,1.342166451344402,388.8106860870273
mixed,1.3656028086684835,381.1228968909764
mixed,1.3894484020035474,373.5756180162575
mixed,1.4137103772601272,366.1665001156099
mixed,1.4383960051277016,358.8932334145464
mixed,1.4635126832535312,351.7535469988166
mixed,1.4890679384595449,344.74520811402226
mixed,1.5150694289979314,337.86602147721317
mixed,1.5415249468461245,331.1138286002863
mixed,1.5684424200418552,324.48650712502626
mixed,1.595829915058981,317.981970169623
mixed,1.6236956392248016,311.5981656865061
mixed,1.6520479431795825,305.3330758313411
mixed,1.6808953233790265,299.18471634303773
mixed,1.7102464246404454,293.1511359346186
mixed,1.740110042733386,287.23041569480597
mixed,1.7704951270154978,281.4206685001853
mixed,1.8014107831144248,275.7200384378054
mixed,1.8328662756565268,270.1267002380827
mixed,1.8648710310432512,264.6388587178761
mixed,1.8974346402759803,259.25474823360366
mixed,1.9305668618302112,253.97263214427548
mixed,1.964277624579916,248.7908022843187
mixed,1.998577030772971,243.70757844607417
mixed,2.033475359058543,238.7213078718462
mixed,2.06898306756733,233.8303647553897
mixed,2.1051107970456027,229.03314975272073
mixed,2.1418693740439507,224.32808950213868
mixed,2.1792698141617324,219.7136361533516
mixed,2.217323325348158,215.1882669055963
mixed,2.2560413112610287,210.75048355464693
